site_category,model,cpu,ram_spec,storage_spec,configuration,price_inr,compare_at_price_inr,discount_pct,url,handle
Daily Tasks,"Helix (Intel i3-1215U, 12th Gen)",Intel® Core™ i3-1215U (12th Gen),12 GB LPDDR5 4800 MHz (On-board),Dual NVMe: 1x M.2 2280 + 1x M.2 2242 (up to 2TB each),"Core i3 - 1215U (6 Cores, 8 Threads, upto 4.4 GHz) / 12GB LPDDR5 4800MHz / 0GB",29999,,,https://www.electroniksindia.com/products/helix-by-skullsaints-intel-core-series-12gb-lpddr5-4800mhz-dual-nvme-pcie-ssd-usb-3-2-usb-c-10gbps-4k-2-5gbps-lan-wi-fi-6-bt-5-2-4k-triple-display-mini-pc,helix-by-skullsaints-intel-core-series-12gb-lpddr5-4800mhz-dual-nvme-pcie-ssd-usb-3-2-usb-c-10gbps-4k-2-5gbps-lan-wi-fi-6-bt-5-2-4k-triple-display-mini-pc
Daily Tasks,"Helix (Intel i3-1215U, 12th Gen)",Intel® Core™ i3-1215U (12th Gen),12 GB LPDDR5 4800 MHz (On-board),Dual NVMe: 1x M.2 2280 + 1x M.2 2242 (up to 2TB each),"Core i3 - 1215U (6 Cores, 8 Threads, upto 4.4 GHz) / 12GB LPDDR5 4800MHz / 128GB M.2 + Win 11 Pro",31999,,,https://www.electroniksindia.com/products/helix-by-skullsaints-intel-core-series-12gb-lpddr5-4800mhz-dual-nvme-pcie-ssd-usb-3-2-usb-c-10gbps-4k-2-5gbps-lan-wi-fi-6-bt-5-2-4k-triple-display-mini-pc,helix-by-skullsaints-intel-core-series-12gb-lpddr5-4800mhz-dual-nvme-pcie-ssd-usb-3-2-usb-c-10gbps-4k-2-5gbps-lan-wi-fi-6-bt-5-2-4k-triple-display-mini-pc
Daily Tasks,"Helix (Intel i3-1215U, 12th Gen)",Intel® Core™ i3-1215U (12th Gen),12 GB LPDDR5 4800 MHz (On-board),Dual NVMe: 1x M.2 2280 + 1x M.2 2242 (up to 2TB each),"Core i3 - 1215U (6 Cores, 8 Threads, upto 4.4 GHz) / 12GB LPDDR5 4800MHz / 256GB M.2 + Win 11 Pro",33999,,,https://www.electroniksindia.com/products/helix-by-skullsaints-intel-core-series-12gb-lpddr5-4800mhz-dual-nvme-pcie-ssd-usb-3-2-usb-c-10gbps-4k-2-5gbps-lan-wi-fi-6-bt-5-2-4k-triple-display-mini-pc,helix-by-skullsaints-intel-core-series-12gb-lpddr5-4800mhz-dual-nvme-pcie-ssd-usb-3-2-usb-c-10gbps-4k-2-5gbps-lan-wi-fi-6-bt-5-2-4k-triple-display-mini-pc
Daily Tasks,"Helix (Intel i3-1215U, 12th Gen)",Intel® Core™ i3-1215U (12th Gen),12 GB LPDDR5 4800 MHz (On-board),Dual NVMe: 1x M.2 2280 + 1x M.2 2242 (up to 2TB each),"Core i3 - 1215U (6 Cores, 8 Threads, upto 4.4 GHz) / 12GB LPDDR5 4800MHz / 512GB M.2 + Win 11 Pro",38999,,,https://www.electroniksindia.com/products/helix-by-skullsaints-intel-core-series-12gb-lpddr5-4800mhz-dual-nvme-pcie-ssd-usb-3-2-usb-c-10gbps-4k-2-5gbps-lan-wi-fi-6-bt-5-2-4k-triple-display-mini-pc,helix-by-skullsaints-intel-core-series-12gb-lpddr5-4800mhz-dual-nvme-pcie-ssd-usb-3-2-usb-c-10gbps-4k-2-5gbps-lan-wi-fi-6-bt-5-2-4k-triple-display-mini-pc
Daily Tasks,"Helix (Intel i3-1215U, 12th Gen)",Intel® Core™ i3-1215U (12th Gen),12 GB LPDDR5 4800 MHz (On-board),Dual NVMe: 1x M.2 2280 + 1x M.2 2242 (up to 2TB each),"Core i3 - 1215U (6 Cores, 8 Threads, upto 4.4 GHz) / 12GB LPDDR5 4800MHz / 1TB M.2 + Win 11 Pro",44999,,,https://www.electroniksindia.com/products/helix-by-skullsaints-intel-core-series-12gb-lpddr5-4800mhz-dual-nvme-pcie-ssd-usb-3-2-usb-c-10gbps-4k-2-5gbps-lan-wi-fi-6-bt-5-2-4k-triple-display-mini-pc,helix-by-skullsaints-intel-core-series-12gb-lpddr5-4800mhz-dual-nvme-pcie-ssd-usb-3-2-usb-c-10gbps-4k-2-5gbps-lan-wi-fi-6-bt-5-2-4k-triple-display-mini-pc
Daily Tasks,Mist (AMD Ryzen 3 4300U),"AMD Ryzen™ 3 4300U (4C / 4T, 2.7 – 3.7 GHz, 15W)",Dual DDR4-3200 SO-DIMM — up to 32 GB,Dual Slots M.2 2280 NVMe/SATA (up to 4 TB) M.2 2242 NVMe/SATA (up to 2 TB),0GB / 0GB,18999,,,https://www.electroniksindia.com/products/mist-by-skullsaints-ryzen-3-4300u-ddr4-dual-channel-pcie-nvme-ssd-usb-3-2-gen2-usb-c-dp-pd-2-5gbps-lan-wi-fi-6-bt-5-3-4k-dual-display-mini-pc,mist-by-skullsaints-ryzen-3-4300u-ddr4-dual-channel-pcie-nvme-ssd-usb-3-2-gen2-usb-c-dp-pd-2-5gbps-lan-wi-fi-6-bt-5-3-4k-dual-display-mini-pc
Daily Tasks,Mist (AMD Ryzen 3 4300U),"AMD Ryzen™ 3 4300U (4C / 4T, 2.7 – 3.7 GHz, 15W)",Dual DDR4-3200 SO-DIMM — up to 32 GB,Dual Slots M.2 2280 NVMe/SATA (up to 4 TB) M.2 2242 NVMe/SATA (up to 2 TB),8GB DDR4 3200MHz / 128GB M.2 2280 + Win 11 Pro,24499,,,https://www.electroniksindia.com/products/mist-by-skullsaints-ryzen-3-4300u-ddr4-dual-channel-pcie-nvme-ssd-usb-3-2-gen2-usb-c-dp-pd-2-5gbps-lan-wi-fi-6-bt-5-3-4k-dual-display-mini-pc,mist-by-skullsaints-ryzen-3-4300u-ddr4-dual-channel-pcie-nvme-ssd-usb-3-2-gen2-usb-c-dp-pd-2-5gbps-lan-wi-fi-6-bt-5-3-4k-dual-display-mini-pc
Daily Tasks,Mist (AMD Ryzen 3 4300U),"AMD Ryzen™ 3 4300U (4C / 4T, 2.7 – 3.7 GHz, 15W)",Dual DDR4-3200 SO-DIMM — up to 32 GB,Dual Slots M.2 2280 NVMe/SATA (up to 4 TB) M.2 2242 NVMe/SATA (up to 2 TB),8GB DDR4 3200MHz / 256GB M.2 2280 + Win 11 Pro,25999,,,https://www.electroniksindia.com/products/mist-by-skullsaints-ryzen-3-4300u-ddr4-dual-channel-pcie-nvme-ssd-usb-3-2-gen2-usb-c-dp-pd-2-5gbps-lan-wi-fi-6-bt-5-3-4k-dual-display-mini-pc,mist-by-skullsaints-ryzen-3-4300u-ddr4-dual-channel-pcie-nvme-ssd-usb-3-2-gen2-usb-c-dp-pd-2-5gbps-lan-wi-fi-6-bt-5-3-4k-dual-display-mini-pc
Daily Tasks,Mist (AMD Ryzen 3 4300U),"AMD Ryzen™ 3 4300U (4C / 4T, 2.7 – 3.7 GHz, 15W)",Dual DDR4-3200 SO-DIMM — up to 32 GB,Dual Slots M.2 2280 NVMe/SATA (up to 4 TB) M.2 2242 NVMe/SATA (up to 2 TB),8GB DDR4 3200MHz / 512GB M.2 2280 + Win 11 Pro,29999,,,https://www.electroniksindia.com/products/mist-by-skullsaints-ryzen-3-4300u-ddr4-dual-channel-pcie-nvme-ssd-usb-3-2-gen2-usb-c-dp-pd-2-5gbps-lan-wi-fi-6-bt-5-3-4k-dual-display-mini-pc,mist-by-skullsaints-ryzen-3-4300u-ddr4-dual-channel-pcie-nvme-ssd-usb-3-2-gen2-usb-c-dp-pd-2-5gbps-lan-wi-fi-6-bt-5-3-4k-dual-display-mini-pc
Daily Tasks,Mist (AMD Ryzen 3 4300U),"AMD Ryzen™ 3 4300U (4C / 4T, 2.7 – 3.7 GHz, 15W)",Dual DDR4-3200 SO-DIMM — up to 32 GB,Dual Slots M.2 2280 NVMe/SATA (up to 4 TB) M.2 2242 NVMe/SATA (up to 2 TB),16GB DDR4 3200MHz / 128GB M.2 2280 + Win 11 Pro,29499,,,https://www.electroniksindia.com/products/mist-by-skullsaints-ryzen-3-4300u-ddr4-dual-channel-pcie-nvme-ssd-usb-3-2-gen2-usb-c-dp-pd-2-5gbps-lan-wi-fi-6-bt-5-3-4k-dual-display-mini-pc,mist-by-skullsaints-ryzen-3-4300u-ddr4-dual-channel-pcie-nvme-ssd-usb-3-2-gen2-usb-c-dp-pd-2-5gbps-lan-wi-fi-6-bt-5-3-4k-dual-display-mini-pc
