site_category,model,cpu,default_ram,default_storage,min_price_inr,max_price_inr,mrp_inr,n_variants,review_count,url
Daily Tasks,"Helix (Intel i3-1215U, 12th Gen)",Intel® Core™ i3-1215U (12th Gen),12 GB LPDDR5 4800 MHz (On-board),Dual NVMe: 1x M.2 2280 + 1x M.2 2242 (up to 2TB each),29999,44999,,5,,https://www.electroniksindia.com/products/helix-by-skullsaints-intel-core-series-12gb-lpddr5-4800mhz-dual-nvme-pcie-ssd-usb-3-2-usb-c-10gbps-4k-2-5gbps-lan-wi-fi-6-bt-5-2-4k-triple-display-mini-pc
Daily Tasks,Mist (AMD Ryzen 3 4300U),"AMD Ryzen™ 3 4300U (4C / 4T, 2.7 – 3.7 GHz, 15W)",Dual DDR4-3200 SO-DIMM — up to 32 GB,Dual Slots M.2 2280 NVMe/SATA (up to 4 TB) M.2 2242 NVMe/SATA (up to 2 TB),18999,35999,,7,,https://www.electroniksindia.com/products/mist-by-skullsaints-ryzen-3-4300u-ddr4-dual-channel-pcie-nvme-ssd-usb-3-2-gen2-usb-c-dp-pd-2-5gbps-lan-wi-fi-6-bt-5-3-4k-dual-display-mini-pc
Daily Tasks,CoreX (AMD Ryzen 5 4500U),AMD Ryzen™ 5 4500U,Dual DDR4 SO-DIMM — up to 64 GB,2 × M.2 (2242 + 2280) SATA & NVMe — up to 4 TB,20999,51499,,26,42,https://www.electroniksindia.com/products/corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc
Daily Tasks,Agni (Intel N150 Twin Lake),Intel Alder-N Lake N150,Single DDR4 — up to 32 GB,M.2 2280 NVMe + M.2 SATA — up to 8 TB,18999,42999,39999,9,42,https://www.electroniksindia.com/products/agni-by-skullsaints-mini-pc-intel-twin-lake-n150-vibrant-lcd-screen-m-2-ssd-mini-tower-with-rgb-lights-wifi-6-4k-uhd-dual-lan-for-home-and-office
Daily Tasks,Ash (Intel N150 Twin Lake),Intel Alder-N Lake N150,16 GB LPDDR5 4800 MHz (non-expandable),M.2 2242 — up to 2 TB,34999,42999,44999,3,11,https://www.electroniksindia.com/products/ash-by-skullsaints-mini-pc-intel-twin-lake-n150-16gb-lpddr5-triple-display-support-m-2-nvme-wifi-5-bluetooth-5-2
Daily Tasks,Rudra (Intel N150 Twin Lake),Intel Alder-N Lake N150,16 GB LPDDR5 4800 MHz (non-expandable),M.2 2242 — up to 2 TB,33999,42999,37999,3,101,https://www.electroniksindia.com/products/rudra-by-skullsaints-mini-pc-with-n150-twin-lake-upto-3-6ghz-16gb-ddr5-ram-512gb-m-2-ssd-triple-4k-display-dual-lan-wifi-6-bluetooth-5-2-win-11-pro
Daily Tasks,Pulse (Intel Celeron 5205U),Intel Celeron 5205U,Single DDR4 — up to 32 GB,1 × M.2 2280 (up to 2 TB) + 1 × M.2 2242 (up to 1 TB),12999,17999,39999,2,,https://www.electroniksindia.com/products/pulse-by-skullsaints-mini-pc-intel-celeron-5205u-dual-m-2-ssd-slots-2-5gb-lan-hdmi-dual-4k-display-wifi-5-bt-5-0
Heavy Work,CoreX (AMD Ryzen 7 4800H),AMD Ryzen™ 7 4800H,Dual DDR4 SO-DIMM — up to 64 GB,2 × M.2 (2242 + 2280) SATA & NVMe — up to 4 TB,27999,58499,,26,42,https://www.electroniksindia.com/products/corex-powered-by-ryzen-7-4800h-wi-fi-6-bt-5-2-triple-display-and-expandable-ram-storage
Heavy Work,CoreX (AMD Ryzen 9 5900HX),AMD Ryzen™ 9 5900HX,Dual DDR4 SO-DIMM — up to 64 GB,2 × M.2 (2242 + 2280) SATA & NVMe — up to 4 TB,33999,63499,,26,42,https://www.electroniksindia.com/products/corex-powered-by-ryzen-9-5900hx-wi-fi-6-bt-5-2-triple-display-and-expandable-ram-storage-ai-mini-pc
Heavy Work,Dragon (AMD Ryzen 5 5600U),AMD Ryzen™ 5 5600U (TSMC 7nm),Dual-Channel DDR4 SODIMM 3200 MHz — up to 64 GB,,27999,44999,99999,7,22,https://www.electroniksindia.com/products/skullsaints-dragon-ryzen-5-5600u-colorful-mini-pc
